timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
50688171,0.000562294,-0.0057773464,0.0,0.0,0.99999577,0.00028114583,-0.002888669,8.121406e-07,0.0,0.0,-0.6273779,1,0,0,0,0,0
50806929,0.00086915883,-0.004646401,0.0,0.0,0.9999972,0.00043457825,-0.0023231984,1.009614e-06,0.0,0.0,-0.62754095,1,0,0,0,0,0
50898093,0.0002038104,-0.0031139934,0.0,0.0,0.9999988,0.000101905076,-0.001556996,1.5866598e-07,0.0,0.0,-0.62499917,1,0,0,0,0,0
50988702,-0.00015167896,-0.0036411223,0.0,0.0,0.99999833,-7.583935e-05,-0.0018205601,-1.3807033e-07,0.0,0.0,-0.62618273,1,0,0,0,0,0
51112143,0.0003084441,-0.0044207205,0.0,0.0,0.99999756,0.0001542217,-0.0022103586,3.4088603e-07,0.0,0.0,-0.6279215,1,0,0,0,0,0
51203934,0.001705608,-0.0025843785,0.0,0.0,0.9999988,0.00085280306,-0.0012921883,1.1019837e-06,0.0,0.0,-0.6291667,1,0,0,0,0,0
51297629,0.003006136,-0.0013361071,0.0,0.0,0.9999987,0.0015030672,-0.00066805276,1.0041296e-06,0.0,0.0,-0.63260883,1,0,0,0,0,0
51417995,0.0024941282,-0.0019955945,0.0,0.0,0.99999875,0.0012470633,-0.0009977963,1.2443165e-06,0.0,0.0,-0.6294551,1,0,0,0,0,0
51511172,0.0036567796,-0.00083852105,0.0,0.0,0.9999982,0.0018283888,-0.00041925983,7.665713e-07,0.0,0.0,-0.6299442,1,0,0,0,0,0
51600788,0.002867279,-0.0009783682,0.0,0.0,0.99999887,0.0014336391,-0.00048918364,7.013135e-07,0.0,0.0,-0.62846506,1,0,0,0,0,0
51723167,0.0038638194,-0.00092742406,0.0,0.0,0.99999803,0.0019319084,-0.00046371116,8.958492e-07,0.0,0.0,-0.62777805,1,0,0,0,0,0
51813867,0.0036976535,4.6655496e-05,0.0,0.0,0.9999983,0.0018488257,2.3327708e-05,-4.3128942e-08,0.0,0.0,-0.6266018,1,0,0,0,0,0
51904373,0.0040957257,-0.00023016307,0.0,0.0,0.9999979,0.0020478615,-0.0001150813,2.3567105e-07,0.0,0.0,-0.625529,1,0,0,0,0,0
52026592,0.003972781,-0.00015101874,0.0,0.0,0.99999803,0.0019863893,-7.5509226e-05,1.4999101e-07,0.0,0.0,-0.62881327,1,0,0,0,0,0
52117329,0.0046874033,0.0003069923,0.0,0.0,0.99999726,0.0023436993,0.00015349571,-3.597488e-07,0.0,0.0,-0.62901324,1,0,0,0,0,0
52206619,0.0044106613,-0.0007616766,0.0,0.0,0.9999975,0.0022053286,-0.00038083736,8.398736e-07,0.0,0.0,-0.62779486,1,0,0,0,0,0
52331276,0.00360239,0.000118887554,0.0,0.0,0.99999833,0.001801194,5.9443682e-05,-1.0706977e-07,0.0,0.0,-0.6288155,1,0,0,0,0,0
52421519,0.004568506,0.000864339,0.0,0.0,0.9999973,0.002284251,0.00043216837,-9.871835e-07,0.0,0.0,-0.629495,1,0,0,0,0,0
52511295,0.0045287185,0.00020887384,0.0,0.0,0.99999744,0.0022643574,0.000104436665,-2.364825e-07,0.0,0.0,-0.6279911,1,0,0,0,0,0
52632614,0.0052291392,-0.00080059655,0.0,0.0,0.99999654,0.0026145664,-0.00040029688,1.0466064e-06,0.0,0.0,-0.62650645,1,0,0,0,0,0
52725219,0.0050950693,-0.002437157,0.0,0.0,0.999996,0.00254753,-0.0012185744,3.1043674e-06,0.0,0.0,-0.6265049,1,0,0,0,0,0
52815959,0.005422264,-0.0027035424,0.0,0.0,0.9999954,0.0027111263,-0.0013517659,3.6648248e-06,0.0,0.0,-0.6282251,1,0,0,0,0,0
52937969,0.0036099248,-0.0015037108,0.0,0.0,0.9999981,0.0018049609,-0.0007518541,1.3570698e-06,0.0,0.0,-0.6305079,1,0,0,0,0,0
53030679,0.0027511436,-0.0015685175,0.0,0.0,0.99999875,0.001375571,-0.000784258,1.0788037e-06,0.0,0.0,-0.63064086,1,0,0,0,0,0
53118720,0.0026922533,-0.0022331367,0.0,0.0,0.99999845,0.0013461254,-0.0011165672,1.5030415e-06,0.0,0.0,-0.629608,1,0,0,0,0,0
53238693,0.001815976,-0.0036048496,0.0,0.0,0.999998,0.0009079864,-0.0018024229,1.6365789e-06,0.0,0.0,-0.6291183,1,0,0,0,0,0
53331165,0.0019088483,-0.00410758,0.0,0.0,0.99999744,0.000954422,-0.0020537877,1.960185e-06,0.0,0.0,-0.6292161,1,0,0,0,0,0
53421229,0.0030331237,-0.0050607207,0.0,0.0,0.99999565,0.0015165564,-0.002530355,3.8374424e-06,0.0,0.0,-0.6316031,1,0,0,0,0,0
53543884,0.0017566425,-0.0045628217,0.0,0.0,0.999997,0.0008783188,-0.0022814078,2.0038094e-06,0.0,0.0,-0.62894905,1,0,0,0,0,0
53636732,0.002465631,-0.004022304,0.0,0.0,0.99999726,0.0012328128,-0.0020111492,2.4793771e-06,0.0,0.0,-0.6280053,1,0,0,0,0,0
